6.651624297900535776e-01 6.061975091338724919e-01 1.700331537179305616e-02 6.882135737619956561e-01 9.790704971635308396e-02 1.968760611498582003e-01
6.083756764331144096e-01 6.065186014994315977e-01 1.164298071363242953e-01 6.265359089698964157e-01 1.601932368501987336e-01 9.684104704358054150e-02
5.494222535497056414e-01 5.575133130504664747e-01 1.032805750853835747e-01 8.248628530339442433e-01 6.371243775934391784e-02 8.144134121328241646e-03
6.952573363202542156e-01 5.657741273151896122e-01 6.790458680655771240e-02 7.120077821149337627e-01 1.176642884489992741e-01 1.024233426295093202e-01
7.134394271990007752e-01 6.106572926773804477e-01 9.020025521389087031e-02 7.496082791996502293e-01 1.110579201156258605e-01 4.913354547083289420e-02
6.059947678601130816e-01 5.316674120447718588e-01 1.015217008966759343e-01 7.410259031038053390e-01 8.547446909654962677e-02 7.197792690296903051e-02
6.425279284423138781e-01 4.720867296662405455e-01 2.348104636987770610e-01 4.634832788799606029e-01 8.427089605516638326e-02 2.174353613660960083e-01
6.288738318284021744e-01 6.141426670949284849e-01 4.923938258592571587e-02 8.420380919794020480e-01 7.489473595089958524e-02 3.382778948377265088e-02
6.540280874335637762e-01 5.862076149444258588e-01 4.400631534287950952e-01 4.489530271416534712e-01 3.049425816635759588e-03 1.079343936129157355e-01
7.269846918112694567e-01 5.915170767297038834e-01 4.979757685437785630e-02 7.491713974683555932e-01 1.306643051887176055e-01 7.036672048854908379e-02
6.959463769052937065e-01 5.364343571993425153e-01 8.148637765707170133e-02 7.577331093989382316e-01 1.202472587582583685e-01 4.053325418573167083e-02
7.445598247320480700e-01 5.061662529470373206e-01 3.478161285352678739e-02 5.822448335096520600e-01 3.028750913917175325e-01 8.009846224510366874e-02
5.965168461569434477e-01 5.066953380790080175e-01 3.906523483216945911e-03 7.950288283724737948e-01 1.710971228575117187e-01 2.996752528679744870e-02
5.248242352894992857e-01 4.606020509788640305e-01 3.312480277812693968e-02 6.480811628827596316e-01 2.056245254908602160e-01 1.131695088482533307e-01
6.795913518029484957e-01 5.359498940356796082e-01 2.105497240084823474e-01 5.117690172199341747e-01 1.666795966614168234e-01 1.110016621101666406e-01
5.250340504534530828e-01 5.061208121592282172e-01 1.371283724307868213e-01 4.960629490782947904e-01 3.145147192891877431e-03 3.636635312980265322e-01
